t_hover,E_req_J,exceeds_avail
3.951448276927627745e+01,5.413773773504059063e+05,0.000000000000000000e+00
4.455184780231499531e+01,5.623596922233497025e+05,0.000000000000000000e+00
8.180441481135409276e+01,7.175291281650566962e+05,1.000000000000000000e+00
3.360301643898124979e+01,5.167541374046136625e+05,0.000000000000000000e+00
4.773324931658977732e+01,5.756112965585442726e+05,0.000000000000000000e+00
4.282280393832373022e+01,5.551576446160292253e+05,0.000000000000000000e+00
6.798643092639625252e+01,6.599725907924710773e+05,1.000000000000000000e+00
5.223596723621285776e+01,5.943666268857938703e+05,0.000000000000000000e+00
4.035107151132812930e+01,5.448620500492798164e+05,0.000000000000000000e+00
5.310713457558742334e+01,5.979953310400281334e+05,0.000000000000000000e+00
9.181878986173546764e+01,7.592423590277601033e+05,1.000000000000000000e+00
4.636533756078118529e+01,5.699134853039440932e+05,0.000000000000000000e+00
7.820032968443297250e+01,7.025169048169434536e+05,1.000000000000000000e+00
6.031051261464445901e+01,6.279998165543859359e+05,1.000000000000000000e+00
6.283292181979547308e+01,6.385064968989238841e+05,1.000000000000000000e+00
7.180328682601847845e+01,6.758710757712767227e+05,1.000000000000000000e+00
4.314611431068192360e+01,5.565043407537947642e+05,0.000000000000000000e+00
6.040515458936010162e+01,6.283940321215835866e+05,1.000000000000000000e+00
4.839915603334489447e+01,5.783850213760478655e+05,0.000000000000000000e+00
5.058726639940930170e+01,5.874992349334124010e+05,0.000000000000000000e+00
1.248702576226209260e+02,8.969128075704791117e+05,1.000000000000000000e+00
7.406212102895737814e+01,6.852798778296910459e+05,1.000000000000000000e+00
5.728957067509337264e+01,6.154165801653594244e+05,1.000000000000000000e+00
4.379881940182555411e+01,5.592230763728586026e+05,0.000000000000000000e+00
3.860352944523737762e+01,5.375829512259983458e+05,0.000000000000000000e+00
4.401487203067532050e+01,5.601230080351305660e+05,0.000000000000000000e+00
5.577388437176020375e+01,6.091032383573785191e+05,1.000000000000000000e+00
3.705098574107319109e+01,5.311160859817442251e+05,0.000000000000000000e+00
5.029161290733851786e+01,5.862677389780413359e+05,0.000000000000000000e+00
3.928291429742675689e+01,5.404128169980936218e+05,0.000000000000000000e+00
4.761811348652065590e+01,5.751317172102493932e+05,0.000000000000000000e+00
3.974640334397116703e+01,5.423434043291627895e+05,0.000000000000000000e+00
4.844708649781054532e+01,5.785846678362167440e+05,0.000000000000000000e+00
3.909350992073018460e+01,5.396238842437476851e+05,0.000000000000000000e+00
6.665641108647302815e+01,6.544326120763174258e+05,1.000000000000000000e+00
